ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.139497,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.139497,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.139497,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.137175,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,68.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.156109,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,66.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.15323,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,66.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.15323,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,66.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.147898,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,66.25,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.15323,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.15323,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.15323,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,66.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.147898,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,66.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.15323,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.15323,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.15323,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,66.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.147898,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,66.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.15323,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,66.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.15323,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,66.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.15323,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,66.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.147898,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,68.75,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.156109,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,71.25,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.157967,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,71.25,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.157967,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,71.25,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.152902,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,71.25,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.157967,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,71.25,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.157967,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,71.25,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.157967,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,71.25,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.152902,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,71.25,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.157967,-9999
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,71.25,2019
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.157967,2019
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,71.25,2020
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.157967,2020
18,RECO_NT_VUT_REF,DD_USTAR_PERCENTILE,71.25,2021
18,RECO_NT_VUT_REF,DD_USTAR_THRESHOLD,0.152902,2021
19,RECO_NT_CUT_REF,WW_USTAR_PERCENTILE,71.25,-9999
19,RECO_NT_CUT_REF,WW_USTAR_THRESHOLD,0.157967,-9999
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,71.25,2019
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.157967,2019
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,71.25,2020
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.157967,2020
20,RECO_NT_VUT_REF,WW_USTAR_PERCENTILE,71.25,2021
20,RECO_NT_VUT_REF,WW_USTAR_THRESHOLD,0.152902,2021
21,RECO_NT_CUT_REF,MM_USTAR_PERCENTILE,71.25,-9999
21,RECO_NT_CUT_REF,MM_USTAR_THRESHOLD,0.157967,-9999
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,71.25,2019
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.157967,2019
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,71.25,2020
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.157967,2020
22,RECO_NT_VUT_REF,MM_USTAR_PERCENTILE,71.25,2021
22,RECO_NT_VUT_REF,MM_USTAR_THRESHOLD,0.152902,2021
23,RECO_NT_CUT_REF,YY_USTAR_PERCENTILE,71.25,-9999
23,RECO_NT_CUT_REF,YY_USTAR_THRESHOLD,0.157967,-9999
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2019
24,RECO_NT_VUT_REF,YY_USTAR_THRESHOLD,0.157967,2019
24,RECO_NT_VUT_REF,YY_USTAR_PERCENTILE,71.25,2020
