TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20190101,-16.421,1.0,0.0,1.268,1.0,230.998,1.0,0.261,1.0,98.451,1.0,0.026,0.0,7.246,0.0,-9999,0.0,-12.908124999999998,1.0,0.09479166666666668,1.0,0.02416666666666667,1.0,1.9666666666666668,1.0,-0.8127083333333335,1.0,243.84166666666667,1.0,414.812,1.0,-8.633,-8.187,-7.692,-7.483,-6.826,-6.016,-4.856,-3.809,-3.166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.57321,-9999,-1.31015,-9999,-4.78377,-9999,-9999,-9999,-15.1591,-9999,-54.4559,-9999,-9999,-9999,0.00385896,0.0,-9999,0.00385896,0.00460919,0.00480362,0.0,0.0,0.0,5.64688e-08,5.6477e-08,6.29897e-08,6.63617e-08,-0.00385891,-0.00480358,-0.00460913,-0.0038589,0.00021712,0.00021712,0.000296146,0.00709686,0.0,0.0,0.0,3.42685e-05,-9999,-9999
20190102,-15.344,1.0,0.0,1.075,1.0,243.365,1.0,0.257,1.0,98.809,1.0,0.043,0.0,3.617,0.0,-9999,0.0,-5.388958333333334,1.0,0.11479166666666667,1.0,0.030416666666666665,1.0,1.8395833333333336,1.0,-1.2170833333333333,1.0,248.88749999999996,1.0,414.518,1.0,-8.335,-7.931,-7.528,-7.404,-6.818,-6.095,-4.983,-3.93,-3.258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.29488,-9999,-2.12469,-9999,-7.5472,-9999,-9999,-9999,-13.8604,-9999,-48.4163,-9999,-9999,4.71957,0.00187808,0.0,-9999,0.00187808,0.00187808,0.00228629,0.0,0.0,0.0,6.86866e-08,6.86958e-08,7.6067e-08,7.9863e-08,-0.00187801,-0.00228622,-0.00187801,-0.001878,0.000341393,0.000341393,0.00046565,0.00753089,0.0,0.0,0.0,2.90621e-05,-9999,-9999
20190103,-16.282,1.0,0.0,1.27,1.0,213.556,1.0,0.269,1.0,100.249,1.0,0.216,0.0,6.546,0.5,-9999,0.0,-28.086458333333336,1.0,0.09708333333333335,1.0,0.046875,1.0,2.0833333333333335,1.0,-0.5114583333333333,1.0,241.17708333333334,1.0,415.023,1.0,-8.048,-7.679,-7.346,-7.283,-6.752,-6.111,-5.072,-4.046,-3.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.05768,-9999,-2.12453,-9999,-7.54662,-9999,-9999,-9999,-12.6804,-9999,-44.2941,-9999,-9999,3.06554,0.00150666,0.0,-9999,0.00150666,0.00150666,0.00225689,0.0,0.0,0.0,6.23864e-08,6.23948e-08,6.90751e-08,7.25213e-08,-0.0015066,-0.00270019,-0.0015066,-0.00150659,0.000355943,0.000355943,0.000485495,0.00713989,0.0,0.0,0.0,3.43248e-05,-9999,-9999
20190104,-27.206,1.0,0.0,1.064,1.0,158.202,1.0,0.153,1.0,101.265,1.0,0.001,0.0,5.776,0.291667,-9999,0.0,-36.3704255319149,0.9791666666666666,0.12208333333333332,1.0,0.05229166666666666,1.0,2.71875,1.0,-0.6182978723404255,0.9791666666666666,193.30000000000004,1.0,415.936,1.0,-8.538,-7.999,-7.433,-7.282,-6.726,-6.105,-5.129,-4.148,-3.441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.40583,-9999,-1.31015,-9999,-4.61758,-9999,-9999,-9999,5.34777,-9999,18.5324,-9999,-9999,2.12147,0.00385896,0.0,-9999,0.00385896,0.00460919,0.00480362,0.0,0.0,0.0,3.29177e-09,3.29262e-09,4.00652e-09,4.40282e-09,-0.00385896,-0.00480362,-0.00460919,-0.00385896,1.24958e-06,1.24958e-06,1.70439e-06,0.00272478,0.0,0.0,0.0,2.87664e-05,-9999,-9999
20190105,-24.182,1.0,0.0,0.905,1.0,161.706,1.0,0.193,1.0,101.877,1.0,0.003,0.0,3.303,0.354167,-9999,0.0,-39.99208333333333,1.0,0.12791666666666665,1.0,0.06479166666666668,1.0,2.3249999999999997,1.0,-0.7072916666666668,1.0,200.4333333333333,1.0,418.937,1.0,-9.37,-8.755,-8.014,-7.696,-7.007,-6.236,-5.2,-4.237,-3.529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.80182,-9999,-2.12469,-9999,-7.42955,-9999,-9999,-9999,-2.01159,-9999,-6.91536,-9999,-9999,1.8339,0.00187808,0.0,-9999,0.00187808,0.00187808,0.00228629,0.0,0.0,0.0,9.02607e-09,9.0281e-09,1.07155e-08,1.16312e-08,-0.00187807,-0.00228628,-0.00187807,-0.00187807,4.29764e-06,4.29764e-06,5.86186e-06,0.00391161,0.0,0.0,0.0,2.44638e-05,-9999,-9999
20190106,-27.91,1.0,0.0,0.556,1.0,152.125,1.0,0.147,1.0,102.49,1.0,0.003,0.0,1.105,0.0,-9999,0.0,-27.47208333333333,1.0,0.15395833333333334,1.0,0.07416666666666666,1.0,2.6354166666666665,1.0,-1.9772916666666667,1.0,178.3125,1.0,417.301,1.0,-10.028,-9.346,-8.496,-8.098,-7.343,-6.468,-5.334,-4.327,-3.613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.29058,-9999,-2.12453,-9999,-7.37017,-9999,-9999,-9999,3.82434,-9999,13.0413,-9999,-9999,1.96676,0.00150666,0.0,-9999,0.00150666,0.00150666,0.00225689,0.0,0.0,0.0,2.27141e-09,2.27205e-09,2.8212e-09,3.12946e-09,-0.00150666,-0.00270025,-0.00150666,-0.00150666,2.58438e-07,2.58438e-07,3.52501e-07,0.00247066,0.0,0.0,0.0,1.50252e-05,-9999,-9999
20190107,-29.738,1.0,0.0,0.964,1.0,141.992,1.0,0.131,1.0,102.765,1.0,0.006,0.0,1.29,0.0,-9999,-9999,-32.102291666666666,1.0,0.13854166666666665,1.0,0.079375,1.0,2.670833333333334,1.0,-1.7514583333333331,1.0,173.40625,1.0,418.438,1.0,-10.94,-10.179,-9.175,-8.648,-7.786,-6.767,-5.513,-4.433,-3.696,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.92854,-9999,-1.31015,-9999,-4.41387,-9999,-9999,-9999,2.84062,-9999,9.40233,-9999,-9999,1.85841,0.00385896,0.0,-9999,0.00385896,0.00460919,0.00480362,0.0,0.0,0.0,6.01644e-10,6.01863e-10,7.93702e-10,9.05935e-10,-0.00385896,-0.00480363,-0.0046092,-0.00385896,5.77401e-09,5.77401e-09,7.87559e-09,0.00179207,0.0,0.0,0.0,2.6066e-05,-9999,-9999
20190108,-30.698,1.0,0.0,1.117,1.0,134.615,1.0,0.123,1.0,103.044,0.9375,0.001,0.0,1.972,0.0,-9999,0.0,-39.008125,1.0,0.15458333333333332,1.0,0.09375,1.0,2.660416666666667,1.0,-1.805,1.0,173.47916666666666,1.0,418.832,1.0,-11.785,-10.98,-9.882,-9.259,-8.306,-7.146,-5.745,-4.557,-3.781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.41897,-9999,-1.69756,-9999,-5.38023,-9999,-9999,-9999,-3.00806,-9999,-9.35713,-9999,-9999,2.00163,0.00187808,0.0,-9999,0.00187808,0.00187808,0.00228629,0.0,0.0,0.0,3.13114e-10,3.13238e-10,4.23178e-10,4.88639e-10,-0.00187808,-0.0022863,-0.00187808,-0.00187808,1.36032e-09,1.36032e-09,1.85543e-09,0.00147719,0.0,0.0,0.0,3.01884e-05,-9999,-9999
20190109,-32.29,1.0,0.0,1.419,1.0,134.935,1.0,0.11,1.0,103.138,0.9375,0.024,0.0,3.868,0.0,-9999,0.0,-38.064375000000005,1.0,0.16458333333333333,1.0,0.10208333333333335,1.0,2.891666666666667,1.0,-1.64625,1.0,173.10208333333335,1.0,417.105,1.0,-12.392,-11.598,-10.496,-9.832,-8.828,-7.563,-6.025,-4.707,-3.872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.71762,-9999,0.794244,-9999,2.34339,-9999,-9999,-9999,-5.80931,-9999,-16.7992,-9999,-9999,1.98179,0.00150666,0.0,-9999,0.00150666,0.00150666,0.00225689,0.0,0.0,0.0,1.22338e-10,1.22391e-10,1.70026e-10,1.9897e-10,-0.00150666,-0.00270025,-0.00150666,-0.00150666,1.78872e-10,1.78872e-10,2.43977e-10,0.00103727,0.0,0.0,0.0,3.83486e-05,-9999,-9999
20190110,-30.085,0.6875,0.0,0.323,0.708333,149.595,0.6875,0.13,0.6875,103.273,0.1875,0.008,0.0,5.929,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,417.197,0.6875,-11.518,-10.784,-9.81,-9.266,-8.366,-7.249,-5.84,-4.599,-3.787,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.1779,-9999,-0.694357,-9999,-1.9606,-9999,-9999,-9999,-7.87669,-9999,-21.0532,-9999,-9999,2.97869,0.00385896,0.0,-9999,0.00385896,0.00460919,0.00480362,0.0,0.0,0.0,8.46945e-10,8.47226e-10,1.09053e-09,1.2305e-09,-0.00385896,-0.00480363,-0.0046092,-0.00385896,1.98499e-08,1.98499e-08,2.70747e-08,0.00175096,0.0,0.0,0.0,8.7431e-06,-9999,-9999
