TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20190101,20190107,-22.44,1.0,0.0,1.015,1.0,185.992,1.0,0.202,1.0,100.844,1.0,0.043,0.0,4.126,0.16369,-9999,-9999,-25.03635564420804,0.9965277777777777,0.11843749999999999,1.0,0.04878472222222222,1.0,2.261458333333333,1.0,-0.9740218676122931,0.9965277777777777,217.65868055555555,1.0,416.424,1.0,-9.127,-8.582,-7.955,-7.699,-7.037,-6.257,-5.155,-4.133,-3.436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.76465,1.0,-1.77555,0.0,-6.79043,-9999,-4.52839,1.0,-17.3184,0.914872,0.00262091,0.0,-9999,0.00262091,0.00289231,0.00327342,0.0,0.0,0.0,2.89618e-08,2.8966e-08,3.23527e-08,3.41165e-08,-0.00262088,-0.00333761,-0.00289228,-0.00262088,0.000131467,0.000131467,0.000179317,0.00466668,0.0,0.0,0.0,2.74253e-05,-9999,-9999
20190108,20190114,-29.271,0.553571,0.0,0.462,0.5625,155.942,0.553571,0.131,0.553571,102.807,0.318452,0.026,0.0,6.727,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,417.378,0.553571,-12.112,-11.378,-10.39,-9.815,-8.884,-7.715,-6.236,-4.905,-4.01,0.553571,0.553571,0.553571,0.553571,0.553571,0.553571,0.553571,0.553571,0.553571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.41031,0.553571,-1.36695,0.0,-5.22775,-9999,-7.16341,0.383929,-27.3957,0.898775,0.00233793,0.0,-9999,0.00233793,0.00240977,0.00294158,0.0,0.0,0.0,2.75052e-09,2.75116e-09,3.28339e-09,3.57552e-09,-0.00233792,-0.00299142,-0.00240977,-0.00233792,1.71124e-06,1.71124e-06,2.33408e-06,0.00205066,0.0,0.0,0.0,1.25002e-05,-9999,-9999
20190115,20190121,-21.566,0.651786,0.0,0.708,0.660714,209.997,0.651786,0.18,0.651786,101.565,0.443452,0.039,0.0,5.088,0.270833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,415.267,0.64881,-11.633,-11.19,-10.726,-10.517,-9.886,-9.079,-7.82,-6.384,-5.137,0.651786,0.651786,0.651786,0.651786,0.651786,0.651786,0.651786,0.651786,0.651786,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.84552,0.64881,-0.745239,0.0,-2.51549,-9999,-12.2949,0.47619,-41.5003,0.625131,0.00228487,0.0,-9999,0.00228487,0.0024192,0.00293738,0.0,0.0,0.0,2.12302e-08,2.12341e-08,2.43628e-08,2.60209e-08,-0.00228484,-0.00307165,-0.00241918,-0.00228484,3.7976e-05,3.7976e-05,5.17982e-05,0.004986,0.0,0.0,0.0,1.91519e-05,-9999,-9999
20190122,20190128,-19.505,1.0,0.0447591,2.136,1.0,226.341,1.0,0.258,1.0,101.333,1.0,0.061,0.0,8.767,0.494048,-9999,-9999,-5.995625,1.0,0.7489583333333334,1.0,1.4032986111111112,1.0,2.914236111111111,1.0,0.13267361111111112,1.0,226.21805555555554,1.0,414.795,1.0,-11.454,-11.049,-10.662,-10.523,-9.968,-9.287,-8.193,-6.925,-5.733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.24602,1.0,0.00824358,0.0,0.0246776,-9999,-11.487,0.815476,-34.387,0.639896,0.00262091,0.0,-9999,0.00262091,0.00289231,0.00327342,0.0,0.0,0.0,4.89972e-08,4.90028e-08,5.35204e-08,5.58594e-08,-0.00262085,-0.00333759,-0.00289226,-0.00262086,0.000924579,0.000924579,0.0012611,0.00579048,0.0,0.0,0.0,5.77494e-05,-9999,-9999
20190129,20190204,-20.287,1.0,3.10493,4.18,1.0,194.006,1.0,0.258,1.0,101.995,1.0,0.049,0.0,5.163,0.97619,0.1767971835035896,0.9722222222222222,-30.368993055555553,1.0,4.341944444444445,1.0,4.569861111111111,1.0,4.329861111111111,1.0,2.5016319444444446,1.0,217.0659722222222,1.0,416.246,1.0,-11.934,-11.485,-11.033,-10.857,-10.287,-9.604,-8.55,-7.377,-6.269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.29839,1.0,-0.110063,0.0,-0.262874,-9999,-9.96257,1.0,-23.7946,0.620369,-0.0110283,0.0,-9999,-0.0110283,-0.0110283,-0.00758189,0.0,0.0,0.0,5.09326e-08,5.0938e-08,5.52742e-08,5.75039e-08,0.0110283,0.00758194,0.00770505,0.0110283,0.000843353,0.000843353,0.00115031,0.0054648,0.0,0.0,0.0,0.000112981,-9999,-9999
20190205,20190211,-13.844,0.666667,11.6462,5.888,0.684524,228.045,0.666667,0.3,0.666667,101.061,0.482143,0.156,0.0,7.071,0.458333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,415.255,0.666667,-11.612,-11.265,-10.955,-10.899,-10.423,-9.875,-8.938,-7.817,-6.698,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.39186,0.666667,-0.899748,0.0,-2.59301,-9999,-20.7855,0.666667,-59.9022,0.681588,-0.00759342,0.0,-9999,-0.00759342,-0.00759342,-0.00303697,0.0,0.0,0.0,1.20596e-07,1.20606e-07,1.28839e-07,1.33006e-07,0.00759354,0.0030371,0.00306487,0.00759353,0.00310673,0.00310673,0.00423749,0.00801063,0.0,0.0,0.0,0.000159156,-9999,-9999
20190212,20190218,-19.317,0.627976,24.6898,11.613,0.669643,211.292,0.627976,0.241,0.627976,101.157,0.142857,0.065,0.0,5.943,0.110119,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,416.934,0.60119,-11.284,-10.949,-10.709,-10.702,-10.288,-9.854,-9.042,-8.091,-7.126,0.627976,0.627976,0.627976,0.627976,0.627976,0.627976,0.627976,0.627976,0.627976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.70669,0.627976,-1.167,0.0,-4.26015,-9999,-19.2481,0.607143,-70.2658,0.571605,-0.00757374,0.0,-9999,-0.00757374,-0.00757374,-0.00596704,0.0,0.0,0.0,5.13912e-08,5.13979e-08,5.67457e-08,5.95022e-08,0.00757379,0.0059671,0.00596731,0.00757378,0.00034347,0.00034347,0.000468483,0.005962,0.0,0.0,0.0,0.000313855,-9999,-9999
20190219,20190225,-14.38,1.0,41.9091,25.183,1.0,226.762,1.0,0.383,1.0,101.762,1.0,0.114,0.0,6.658,1.0,0.21961872590938472,1.0,-11.550555555555556,1.0,-9999,-9999,-9999,-9999,14.20034722222222,1.0,20.83420138888889,1.0,245.6833333333333,1.0,416.134,0.0982143,-11.186,-10.884,-10.711,-10.762,-10.388,-9.991,-9.233,-8.323,-7.388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.52683,0.982143,-0.631239,0.0,-1.74872,-9999,-20.9186,0.997024,-57.9508,0.682079,-0.000221116,0.0,-9999,-0.000166025,0.00133262,0.00443007,0.0,0.0,0.0,1.28242e-07,1.28252e-07,1.36199e-07,1.40203e-07,0.000166149,-0.00442994,-0.00157667,0.000166149,0.00366499,0.00366499,0.00499894,0.00775967,0.0,0.0,0.0,0.000680464,-9999,-9999
20190226,20190304,-10.348,0.809524,62.9975,33.347,0.821429,240.166,0.809524,0.439,0.809524,102.271,0.72619,0.029,0.0,5.731,0.729167,0.18517134256943457,0.6284722222222222,-16.358424831081084,0.6284722222222222,67.29083474099099,0.6284722222222222,59.728381193693686,0.6284722222222222,22.63153153153153,0.6284722222222222,27.217713963963963,0.6284722222222222,271.30855855855856,0.6284722222222222,415.939,0.0,-9.934,-9.708,-9.678,-9.874,-9.632,-9.463,-8.992,-8.379,-7.61,0.809524,0.809524,0.809524,0.809524,0.809524,0.809524,0.809524,0.809524,0.809524,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.346446,0.809524,-1.10331,0.0,-2.27891,-9999,-12.9011,0.809524,-26.6476,0.541264,-0.00365044,0.0,-9999,-0.00409361,-0.00365044,0.00155647,0.0,0.0,0.0,1.57773e-07,1.57786e-07,1.68634e-07,1.74097e-07,0.00409378,-0.00157485,0.00365061,0.00397048,0.00352032,0.00352032,0.00480161,0.00941712,0.0,0.0,0.0,0.000901012,-9999,-9999
20190305,20190311,-15.143,0.470238,87.5832,42.476,0.497024,230.417,0.470238,0.236,0.467262,100.534,0.232143,0.096,0.0,6.419,0.241071,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,416.994,0.0,-9.956,-9.664,-9.527,-9.663,-9.38,-9.182,-8.737,-8.252,-7.651,0.470238,0.467262,0.467262,0.470238,0.470238,0.470238,0.470238,0.470238,0.470238,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.19598,0.52381,-1.31163,0.0,-2.23714,-9999,-8.60001,0.470238,-14.6683,0.392771,-0.00231016,0.0,-9999,-0.00222572,-0.00111086,-0.000948181,0.0,0.0,0.0,9.2844e-08,9.28538e-08,1.00599e-07,1.04541e-07,0.00216401,0.000948277,0.00111096,0.00216401,0.00125618,0.00125618,0.00171339,0.00755115,0.0,0.0,0.0,0.00114757,-9999,-9999
